generation;indiv-0;indiv-1;indiv-2;indiv-3;indiv-4;indiv-5;indiv-6;indiv-7;indiv-8;indiv-9;mean
0;19.8224;10.6718;2.9687;2.0193;0.1115;-7.0738;0.1636;-0.7789;-7.3985;-7.3877;1.3118
1;-3.6160;-3.6160;-0.7789;-0.7789;19.8224;-6.0591;8.0419;-16.0161;1.4481;10.6718;0.9119
2;-6.0591;7.8262;-7.0406;4.5349;7.7191;-0.0106;7.4453;19.8224;14.4382;-5.0820;4.3594
3;-3.3512;9.3937;19.8224;-5.7497;4.5349;-6.0591;19.8224;4.5349;2.6092;5.5234;5.1081
4;2.8542;3.0502;19.8224;-7.0944;2.7148;8.2175;2.6092;-3.3423;-4.3610;0.0948;2.4565
5;0.0948;19.8224;19.8224;0.9696;17.7010;20.6501;-3.8057;0.8117;3.0202;1.4846;8.0571
6;0.9696;19.8224;20.6501;19.8224;20.6501;11.0447;4.7253;19.2059;0.0948;19.8224;13.6808
7;11.0447;20.6501;20.6501;20.6501;18.8738;15.3906;2.7016;2.7016;19.8224;20.6501;15.3135
8;20.6501;20.6501;20.6501;20.6501;19.8224;20.6501;20.6501;5.7551;14.0454;16.2239;17.9747
9;16.2239;20.6501;20.6501;20.6501;14.0454;20.6501;20.6501;15.1879;18.7722;18.7722;18.6252
